English,Hindi,Difficulty
Hello,नमस्ते,Beginner
Yes,हाँ,Beginner
No,नहीं,Beginner
What,क्या,Beginner
How,कैसे,Beginner
When,कब,Beginner
Where,कहाँ,Beginner
Good,अच्छा,Beginner
Bad,खराब,Beginner
That,वह,Beginner
He,वह,Beginner
She,वह,Beginner
It,यह,Beginner
Was,था,Beginner
Is,है,Beginner
Am,पूर्वाह्न,Beginner
Or,या,Beginner
You,आप,Beginner
They,वे,Beginner
Them,उन्हें,Beginner
Sad,उदास,Beginner
Right,सही,Beginner
Left,बाएं,Beginner
Wrong,गलत,Beginner
Odd,विषम,Beginner
Even,यहां तक की,Beginner
Mom,माँ,Beginner
Dad,पापा,Beginner
Cousin,चचेरा,Beginner
Sister,बहन,Beginner
Here,यहाँ,Beginner
There,वहाँ,Beginner
Now,अब,Beginner
If,अगर,Beginner
But,लेकिन,Beginner
Since,तब से,Beginner
On,पर,Beginner
In,में,Beginner
Us,हम,Beginner
Uncle,चाचा,Beginner
Aunt,चाची,Beginner
Wish,इच्छा,Beginner
Wow,बहुत खूब,Beginner
Some,कुछ,Beginner
Few,कुछ,Beginner
All,सभी,Beginner
New,नया,Beginner
Old,पुराना,Beginner
Age,आयु,Beginner
More,अधिक,Beginner
Less,कम,Beginner
Up,ऊपर,Beginner
Down,नीचे,Beginner
Look,देखना,Beginner
See,देखना,Beginner
Shine,चमक,Beginner
Allow,अनुमति दें,Beginner
Yuck,छी,Beginner
Fever,बुखार,Beginner
May be,शायद,Beginner
Please,कृपया,Beginner
Child,बच्चा,Beginner
Dream,सपना,Beginner
Flower,फूल,Beginner
Heat,गर्मी,Beginner
Trust,विश्वास,Beginner
God,भगवान,Beginner
Love,प्यार,Beginner
Music,संगीत,Beginner
Family,परिवार,Beginner
Night,रात,Beginner
Bath,नहाना,Beginner
Self,खुद,Beginner
Gift,उपहार,Beginner
Idea,विचार,Beginner
Life,ज़िंदगी,Beginner
Sky,आकाश,Beginner
Salty,नमकीन,Beginner
Toy,खिलौने,Beginner
Voice,आवाज़,Beginner
Hope,आशा,Beginner
Knowledge,ज्ञान,Beginner
Festival,त्योहार,Beginner
Ground,जमीन,Beginner
Simple,सरल,Beginner
Street,सड़क,Beginner
Window,खिड़की,Beginner
Table,मेज़,Beginner
Chair,कुर्सी,Beginner
Book,किताब,Beginner
Pen,कलम,Beginner
Bag,बैग,Beginner
Fruit,फल,Beginner
Vegetables,सब्ज़ियाँ,Beginner
Water,पानी,Beginner
Food,खाना,Beginner
Coffee,कॉफी,Beginner
Tea,चाय,Beginner
Rice,चावल,Beginner
Bread,ब्रेड,Beginner
Milk,दूध,Beginner
Ice,बर्फ,Beginner
Sugar,चीनी,Beginner
Salt,नमक,Beginner
Oil,तेल,Beginner
Fire,आग,Beginner
Wind,हवा,Beginner
Earth,पृथ्वी,Beginner
Star,तारा,Beginner
Moon,चाँद,Beginner
Sun,सूरज,Beginner
Rain,बारिश,Beginner
Cloud,बादल,Beginner
Light,रोशनी,Beginner
Dark,अंधेरा,Beginner
Color,रंग,Beginner
Shape,आकार,Beginner
Size,आकार,Beginner
Move,चलाना,Beginner
Stop,रुकना,Beginner
Start,शुरू करना,Beginner
Finish,समाप्त करना,Beginner
Count,गिनती,Beginner
Draw,चित्रित करना,Beginner
Sing,गाना,Beginner
Dance,नृत्य करना,Beginner
Play,खेलना,Beginner
Work,काम करना,Beginner
Jump,कूदना,Beginner
Walk,चलना,Beginner
Run,दौड़ना,Beginner
Sit,बैठना,Beginner
Stand,खड़ा होना,Beginner
Baby,बच्चा,Beginner
Brother,भाई,Beginner
Sister,बहन,Beginner
Friend,दोस्त,Beginner
Stranger,अजनबी,Beginner
Neighbor,पड़ोसी,Beginner
Teacher,शिक्षक,Beginner
Student,छात्र,Beginner
School,स्कूल,Beginner
College,कॉलेज,Beginner
University,विश्वविद्यालय,Beginner
Bookstore,पुस्तकालय,Beginner
Library,पुस्तकालय,Beginner
Classroom,कक्षा,Beginner
Homework,गृहकार्य,Beginner
Lesson,पाठ,Beginner
Test,परीक्षण,Beginner
Exam,परीक्षा,Beginner
Grade,ग्रेड,Beginner
Project,परियोजना,Beginner
Presentation,प्रस्तुति,Beginner
Research,शोध,Beginner
Science,विज्ञान,Beginner
Math,गणित,Beginner
History,इतिहास,Beginner
Geography,भूगोल,Beginner
Language,भाषा,Beginner
Art,कला,Beginner
Music,संगीत,Beginner
Drama,नाटक,Beginner
Dance,नृत्य,Beginner
Sports,खेल,Beginner
Game,खेल,Beginner
Competition,प्रतियोगिता,Beginner
Team,टीम,Beginner
Coach,कोच,Beginner
Player,खिलाड़ी,Beginner
Victory,विजय,Beginner
Defeat,हार,Beginner
Challenge,चुनौती,Beginner
Goal,लक्ष्य,Beginner
Dream,सपना,Beginner
Success,सफलता,Beginner
Failure,असफलता,Beginner
Effort,प्रयास,Beginner
Achievement,उपलब्धि,Beginner
Skill,कौशल,Beginner
Talent,प्रतिभा,Beginner
Ability,क्षमता,Beginner
Strength,ताकत,Beginner
Weakness,कमजोरी,Beginner
Health,स्वास्थ्य,Beginner
Happiness,खुशी,Beginner
Sadness,उदासी,Beginner
Fear,डर,Beginner
Anger,गुस्सा,Beginner
Love,प्यार,Beginner
Trust,विश्वास,Beginner
Respect,सम्मान,Beginner
Kindness,दया,Beginner
Generosity,उदारता,Beginner
Patience,धैर्य,Beginner
Gratitude,आभार,Beginner
Peace,शांति,Beginner
Joy,आनंद,Beginner
Hope,आशा,Beginner
Wisdom,ज्ञान,Beginner
Brother,भाई,Intermediate
Between,बीच में,Intermediate
Good night,शुभ रात्रि,Intermediate
thank you,धन्यवाद,Intermediate
pleasure,आनंद,Intermediate
why not,क्यों नहीं,Intermediate
I am good,मैं अच्छा हूँ,Intermediate
I am well,मैं ठीक हूं,Intermediate
you tell,आप बताओ,Intermediate
look there,वहाँ देखो,Intermediate
may not,नहीं हो सकता है,Intermediate
condition,स्थिति,Intermediate
I love you,मुझे तुमसे प्यार है,Intermediate
excuse me,माफ़ करें,Intermediate
help me,मेरी सहायता करो,Intermediate
I am tired,मैं थक गया हूँ,Intermediate
I am going,मैं जा रहा हूँ,Intermediate
whats up,क्या चल रहा है,Intermediate
miss you,आपकी याद आ रही है,Intermediate
I m sorry,मुझे माफ़ करें,Intermediate
language,भाषा,Intermediate
I hate you,मुझे आपसे नफ़रत है,Intermediate
I am bored,मुझे ऊबन हो चुकी है,Intermediate
Laughter,हँसी,Intermediate
Happiness,ख़ुशी,Intermediate
Wildlife,वन्यजीव,Intermediate
Victory,विजय,Intermediate
Knowledge,ज्ञान,Intermediate
Freedom,स्वतंत्रता,Intermediate
Festival,त्योहार,Intermediate
God/Deity,भगवान/देवता,Intermediate
Education,शिक्षा,Intermediate
Fragrance,सुगंध,Intermediate
Fairies,परियों,Intermediate
To meet,भेंट करना,Intermediate
Decision,फ़ैसला,Intermediate
Journey,यात्रा,Intermediate
Kingdom,साम्राज्य,Intermediate
Fearless,निडर,Intermediate
Illusion,माया,Intermediate
Blessing,आशीर्वाद,Intermediate
Studies,अध्ययन करते हैं,Intermediate
Teacher,अध्यापक,Intermediate
Student,विद्यार्थी,Intermediate
Curriculum,पाठ्यक्रम,Intermediate
Professor,प्रोफ़ेसर,Intermediate
University,विश्वविद्यालय,Intermediate
Library,पुस्तकालय,Intermediate
Greeting,अभिवादन,Intermediate
Morning,सुबह,Intermediate
Evening,शाम,Intermediate
Success,सफलता,Intermediate
Problem,संकट,Intermediate
Accused,आरोपी,Intermediate
Certain,निश्चित,Intermediate
Diction,शब्द-चयन,Intermediate
Metrics,मेट्रिक्स,Intermediate
Trachea,ट्रेकिआ,Intermediate
Velaric,वेलारिक,Intermediate
Whereby,जिसके तहत,Intermediate
Assess,आकलन,Intermediate
Emphasis,ज़ोर,Intermediate
Insights,अंतर्दृष्टि,Intermediate
Literary,साहित्यिक,Intermediate
Luminous,चमकदार,Intermediate
Peculiar,विचित्र,Intermediate
Friendship,मित्रता,Intermediate
Adventure,साहसिकता,Intermediate
Tradition,परंपरा,Intermediate
Responsibility,ज़िम्मेदारी,Intermediate
Motivation,प्रेरणा,Intermediate
Creativity,रचनात्मकता,Intermediate
Enthusiasm,उत्साह,Intermediate
Satisfaction,संतोष,Intermediate
Trust,विश्वास,Intermediate
Connection,संबंध,Intermediate
Collaboration,सहयोग,Intermediate
Determination,दृढ़ संकल्प,Intermediate
Reflection,प्रतिबिंब,Intermediate
Inspiration,प्रेरणा,Intermediate
Exploration,अन्वेषण,Intermediate
Transformation,परिवर्तन,Intermediate
Awareness,जागरूकता,Intermediate
Understanding,समझ,Intermediate
Growth,विकास,Intermediate
Communication,संचार,Intermediate
Strategy,रणनीति,Intermediate
Observation,अवलोकन,Intermediate
Curiosity,जिज्ञासा,Intermediate
Resilience,लचीलापन,Intermediate
Preparation,तैयारी,Intermediate
Organization,संगठन,Intermediate
Commitment,प्रतिबद्धता,Intermediate
Progress,प्रगति,Intermediate
Wisdom,बुद्धिमत्ता,Intermediate
Flexibility,लचीलापन,Intermediate
Authenticity,प्रामाणिकता,Intermediate
Inclusiveness,समावेशिता,Intermediate
Patience,धैर्य,Intermediate
Reliability,विश्वसनीयता,Intermediate
Transparency,पारदर्शिता,Intermediate
Accountability,जवाबदेही,Intermediate
Initiative,पहल,Intermediate
Sustainability,स्थिरता,Intermediate
Productivity,उत्पादकता,Intermediate
Influence,प्रभाव,Intermediate
Respect,सम्मान,Intermediate
Support,समर्थन,Intermediate
Empathy,सहानुभूति,Intermediate
Participation,भागीदारी,Intermediate
Dedication,समर्पण,Intermediate
Clarity,स्पष्टता,Intermediate
Efficiency,दक्षता,Intermediate
Appreciation,सराहना,Intermediate
Diversity,विविधता,Intermediate
